,Goals,Shots,G/Sh,Assists,PasCmp,Touches,DriPast,CarTotDist,Crs,GCA,TklWon,Press,Clr,Int,Blocks,Fls,AerWon
1332,0.0,0.51,0.0,0.0,37.2,52.1,0.0,126.9,0.51,0.0,0.77,12.3,1.79,2.05,1.79,1.03,1.03
1333,0.0,1.05,0.0,0.0,21.8,43.8,1.45,178.7,0.39,0.13,0.66,21.8,3.16,2.24,2.89,1.18,1.18
1338,0.3,1.81,0.17,0.15,38.4,64.1,1.36,176.2,2.11,0.38,1.58,29.9,0.6,1.81,2.45,1.47,0.68
1339,0.09,0.8,0.12,0.03,22.5,41.4,0.21,75.4,0.06,0.06,0.89,19.0,1.71,1.01,1.77,2.66,5.87
1341,0.19,1.09,0.17,0.09,46.9,65.3,1.33,300.7,0.43,0.43,1.23,15.2,0.71,2.13,1.85,1.66,0.85
1342,0.21,1.95,0.07,0.14,49.2,71.4,0.62,153.6,0.82,0.41,1.68,16.7,1.44,1.4,1.61,1.82,1.03
1344,0.04,1.03,0.04,0.09,22.7,46.0,1.75,162.8,0.94,0.13,1.12,21.1,1.17,1.52,1.97,1.75,0.49
1345,0.0,2.11,0.0,0.0,36.8,54.2,0.53,130.5,0.26,0.0,0.0,9.74,1.84,1.05,1.32,1.05,2.11
1348,0.26,2.31,0.11,0.13,62.7,81.3,0.13,265.8,0.77,0.51,1.28,21.0,1.54,1.03,1.03,2.18,2.31
1356,0.17,1.31,0.13,0.07,41.8,60.4,1.21,214.2,1.25,0.17,1.28,19.9,0.66,1.97,1.35,1.87,0.55
1359,0.2,1.19,0.17,0.04,49.3,64.6,0.33,161.6,0.2,0.2,1.39,16.6,1.19,1.56,0.37,1.68,1.39
1364,0.03,1.16,0.03,0.0,32.5,54.2,0.53,132.2,0.2,0.0,1.72,16.3,2.64,2.44,1.85,2.15,5.02
1366,0.0,0.83,0.0,0.0,28.5,47.3,1.46,117.5,0.21,0.0,1.04,20.4,2.29,2.08,2.29,0.83,1.25
1368,0.09,1.1,0.08,0.0,24.9,47.0,0.73,164.0,0.37,0.0,1.47,22.4,2.8,1.88,2.06,1.61,2.25
1370,0.19,1.23,0.1,0.12,21.1,44.1,1.6,173.1,3.46,0.25,0.93,18.6,0.37,1.3,2.72,0.62,0.31
1372,0.05,1.15,0.05,0.05,32.4,50.4,1.41,197.6,0.05,0.1,2.08,29.2,0.94,1.61,1.82,3.07,0.99
1377,0.13,0.9,0.0,0.4,35.6,61.6,3.27,210.0,1.84,0.49,1.39,25.5,0.63,0.76,1.21,2.87,1.21
1385,0.0,0.81,0.0,0.0,23.0,40.8,0.54,125.7,0.81,0.0,0.54,20.8,1.08,0.54,1.35,2.43,1.08
1390,0.22,0.89,0.25,0.0,44.0,59.1,0.44,196.0,0.22,0.22,0.89,19.6,0.44,0.89,2.0,3.56,0.67
1395,0.0,0.08,0.0,0.0,50.6,68.7,1.02,236.4,0.08,0.0,1.86,21.5,1.86,3.05,2.12,2.03,0.59
1396,0.0,0.39,0.0,0.0,38.7,58.5,0.53,207.8,0.07,0.0,2.32,26.7,1.72,2.88,1.72,2.67,1.54
1400,0.0,1.76,0.0,0.05,51.1,67.2,1.27,338.3,1.23,0.2,1.03,14.9,0.78,2.01,1.18,1.08,0.78
1404,0.0,0.9,0.0,0.0,17.6,40.5,0.68,83.0,0.45,0.08,1.88,23.2,2.48,2.78,1.8,1.35,1.35
1406,0.0,0.63,0.0,0.0,44.7,65.6,0.63,177.5,0.58,0.04,1.61,19.9,1.43,1.79,1.61,2.5,1.61
1410,0.24,1.67,0.14,0.0,38.8,61.0,0.0,198.6,1.67,0.95,0.71,19.8,1.9,0.95,2.86,2.14,3.81
