,Pos,Goals,Shots,G/Sh,Assists,PasCmp,Touches,DriPast,CarTotDist,Crs,GCA,TklWon,Press,Clr,Int,Blocks,Fls,AerWon
356,MF,0.05,0.38,0.14,0.0,23.2,38.9,0.59,82.2,0.38,0.0,0.43,18.4,1.45,1.83,1.4,2.15,1.94
357,MF,0.0,0.85,0.0,0.0,27.0,44.3,1.51,198.3,0.35,0.0,1.74,21.5,1.24,1.58,1.97,1.51,1.08
358,MF,0.22,1.11,0.2,0.0,28.2,51.3,1.67,214.6,0.56,0.11,1.0,20.9,1.22,2.33,2.56,1.89,1.11
359,MF,0.07,1.31,0.05,0.0,49.6,70.1,0.5,227.5,0.47,0.03,1.95,20.6,1.88,1.58,1.51,1.61,3.09
360,MF,0.0,0.59,0.0,0.0,27.9,47.7,1.86,148.7,0.78,0.1,1.18,24.0,0.39,1.96,1.86,1.47,1.27
361,MF,0.12,1.27,0.1,0.18,44.0,63.2,0.66,153.7,0.78,0.48,1.08,18.7,0.66,1.14,1.02,1.27,0.54
362,MF,0.0,2.5,0.0,0.23,27.7,49.1,1.82,243.2,2.95,0.23,1.82,18.4,0.23,0.45,0.45,0.68,1.14
363,MF,0.11,1.2,0.09,0.16,46.0,69.1,1.41,218.0,0.76,0.27,1.58,18.6,1.03,1.68,1.58,1.09,0.65
364,MF,0.09,1.27,0.07,0.26,41.6,58.9,1.27,271.2,1.1,0.4,0.75,15.3,0.92,1.27,0.98,1.01,0.43
365,MF,0.1,1.21,0.08,0.25,34.8,60.3,0.81,160.8,1.36,0.3,1.16,17.5,1.31,1.52,1.52,1.26,0.66
366,MF,0.61,3.14,0.19,0.33,47.8,74.4,0.98,252.6,4.12,0.57,0.57,14.7,0.73,0.57,1.39,1.02,0.61
367,MF,0.13,0.96,0.13,0.04,47.1,70.6,1.05,275.5,1.51,0.21,1.26,21.1,0.79,1.3,1.46,2.01,0.54
368,MF,0.17,1.1,0.15,0.04,25.3,42.3,0.38,102.0,0.46,0.17,1.05,17.6,1.56,1.56,1.73,2.07,2.03
369,MF,0.12,0.99,0.12,0.06,36.7,57.0,0.41,127.3,0.64,0.12,1.4,15.5,2.03,1.22,1.74,1.51,3.9
370,MF,0.0,0.27,0.0,0.0,35.5,51.9,0.81,136.9,0.14,0.0,1.76,17.2,1.22,2.57,1.76,1.49,0.68
371,MF,0.04,1.58,0.0,0.18,47.0,73.9,1.27,260.7,1.18,0.48,1.71,19.3,0.96,2.24,1.71,1.62,0.57
372,MF,0.13,0.26,0.5,0.0,70.3,86.2,0.39,262.5,0.78,0.13,1.82,28.7,0.52,1.56,1.82,3.51,0.78
373,MF,0.09,1.06,0.09,0.09,32.7,46.7,0.32,108.0,0.41,0.37,1.11,20.4,1.52,1.11,2.17,0.92,1.84
374,MF,0.04,0.9,0.05,0.13,40.2,64.5,1.24,278.9,2.14,0.26,1.07,20.0,1.2,1.15,1.97,1.2,0.98
